authors,weights
Weird Al Yankovic,7760000
'Salem's Lot,83200000
1 (number),21010000000
1 Esdras,16800000
1 Maccabees,4390000
101st Airborne Division,3150000
1914,792000000
1948 Palestinian exodus,4070000
1950 East Pakistan riots,7290000
1960 World Series,552000000
1960s,2060000000
1966 FIFA World Cup,16600000
1968,1240000000
1971 Bangladesh genocide,4140000
1971 World Series,320000000
1981 Meenakshipuram conversion,9580
1984 anti-Sikh riots,1850000
1997 Asian financial crisis,57600000
19th century,1350000000
1Q84,2400000
2 Chainz,16200000
2001: A Space Odyssey (novel),14100000
2008 Mumbai attacks,15900000
2008–09 Keynesian resurgence,1350000
2010 FIFA World Cup,50600000
2011 Egyptian revolution,15600000
2011 FIFA Women's World Cup,19800000
2011 Libyan civil war,4340000
2011 Tucson shooting,15600000
2012 Aurora shooting,13100000
2013 Los Angeles International Airport shooting,13700000
2014 FIFA World Cup,145000000
2015 San Bernardino attack,4920000
2016 Nice truck attack,42000000
2019 Dayton shooting,5060000
2019 Hyderabad gang rape,1590000
2019 Japan–South Korea trade dispute,6230000
2020 Palghar mob lynching,20600
2020 United States presidential election,352000000
2020s anti-transgender movement in the United Kingdom,457000
2020–2021 Indian farmers' protest,7530000
2021 Taliban offensive,1830000
2021 United States Capitol attack,15900000
2022 Nord Stream pipeline sabotage,307000
2022 monkeypox outbreak,1290000
2024 United States presidential election,165000000
5 Seconds of Summer,1820000000
50 Cent,1140000000
A Calendar of Wisdom,83900000
A Child's History of England,30000000
A Course in Miracles,30300000
A History of Chemistry (Moore),39800000
A History of Chemistry from the Earliest Times,753000000
A History of European Thought in the Nineteenth Century,161000000
A History of Interest Rates,1840000000
A History of Mathematics,733000000
A History of Physics in its Elementary Branches,11200000
A History of the Theory of Elasticity and of the Strength of Materials,6880000
A History of the Warfare of Science with Theology in Christendom,2440000
A Plague Tale: Requiem,8120000
A Race on the Edge of Time,370000000
A Severe Mercy,22200000
A Short Account of the History of Mathematics,423000000
A Short History of Chemistry,786000000
A Suitable Boy,610000000
A Treatise on the Art of Brewing,6060000
A Treatise on the Mathematical Theory of Elasticity,1910000
A Walk on the Wild Side,246000000
A Wild Sheep Chase,14100000
A priori and a posteriori,11400000
A. A. Attanasio,5290000
A. A. Milne,18500000
A. A. Thomson,51600000
A. C. Bhaktivedanta Swami Prabhupada,2600000
A. C. Grayling,10300000
A. D. Hope,1630000000
A. E. Housman,4560000
A. E. van Vogt,9760000
A. J. Cronin,12000000
A. J. Liebling,6350000
A. J. Muste,5830000
A. J. P. Taylor,3170000
A. James Gregor,17100000
A. M. Homes,1380000000
A. M. Klein,676000000
A. N. Wilson,1230000000
A. P. Herbert,27900000
A. P. J. Abdul Kalam,15100000
A. Philip Randolph,15400000
A. R. Ammons,1260000
A. R. Rahman,102000000
A. S. Byatt,3830000
A. S. Neill,183000000
A. Surya Prakash,15400000
A. Wayne Wymore,2290000
A. Whitney Brown,167000000
A.C. Cuza,1390000
A.D. Patel,150000000
A286,5940000
ABC model of flower development,22800000
AJ Law Obdam,84200
AJ Tracey,9720000
AK-47,629000000
ALGOL,4580000
APL,205000000
AR-15 style rifle,67000000
ARM,4420000000
ASAP Rocky,48900000
Aage Niels Bohr,154000
Aamir Khan,38100000
Aaro Hellaakoski,104000
Aaron Beck,21200000
Aaron Brown (financial author),21600000
Aaron Burr,11400000
Aaron Copland,9540000
Aaron Judge,48400000
Aaron Michael Milstone,46200
Aaron Ramsey,12500000
Aaron Sorkin,3970000
Aaron Swartz,7510000
Abandonment,562000000
Abba Eban,5810000
Abbas Kiarostami,1470000
Abbie Hoffman,7850000
Abbott Eliot Kittredge,4110000
Abby Martin,22100000
Abby Phillip,22300000
Abd al-Karim Qasim,945000
Abdalla Hamdok,336000
Abdel Fattah el-Sisi,3720000
Abdelmadjid Tebboune,1260000
Abdication,15300000
Abdoulkader Kamil Mohamed,1240000
Abdourahman Waberi,4040000
Abdul Halim of Kedah,1830000
Abdul Hamid,32800000
Abdul Hamid Dbeibeh,68700
Abdul Latif Rashid,9510000
Abdul Rashid Ghazi,2670000
Abdulaziz bin Salman Al Saud,1940000
Abdulla Mausoom,98600
Abdulla Shahid,8170000
Abdulla Yameen,875000
Abdullah Ahmad Badawi,4390000
Abdullah II of Jordan,12100000
Abdullah of Saudi Arabia,38800000
Abdullah Öcalan,2200000
Abdurrahman Wahid,11800000
Abel Azcona,4770000
Abel Stevens,10400000
Abena Busia,82200
Abhas Chatterjee,50800
Abhay Bang,5030000
Abhijñā,18300
Abhorrence,4540000
Abiezer Coppe,26500
Abigail Adams,49000000
Abigail Thorn,6610000
Abiy Ahmed,7490000
Abolitionism,13100000
Abomination,61700000
Abortion (1500-1900),671000
Abortion (pre-Reformation),13200000
Abortion case law in the United States,61000000
Abortion in the United States,95000000
Abraham,494000000
Abraham Cowley,7710000
Abraham Davenport,9580000
Abraham Flexner,3660000
Abraham Isaac Kook,1520000
Abraham Joshua Heschel,3660000
Abraham Kaplan,11300000
Abraham Kuyper,6530000
Abraham Maslow,11500000
Abraham Pais,24200000
Abraham Polonsky,4040000
Abraham Verghese,1890000
Abrahamic religions,70700000
Absence,2360000000
Abstinence,62800000
Abstract algebra,48100000
Abstract art,1350000000
Abstract expressionism,24300000
Abstraction,194000000
Abstraction (mathematics),23200000
Abu Azmi,14900000
Abu Bakr al-Baghdadi,2030000
Abu Hamid al-Ghazali,3160000
Abu Hanifa,10700000
Abu Musab al-Zarqawi,244000
Abu Nasr as-Sarraj,127000
Abu'l-Fazl ibn Mubarak,28100
Abul A'la Maududi,272000
Abul Hasan Ali Hasani Nadwi,62700
Abuse of power,750000000
Abyss,144000000
Abzu,3870000
Accident,2180000000
Accountability,908000000
Accounting,3330000000
Accusation,412000000
Ace Frehley,2500000
Achievement,2000000000
Achille Mbembe,865000
Achille Starace,3700000
Achy Obejas,136000
Acid–base reaction,265000000
Acquisition,1250000000
Action research,4260000000
Activism,593000000
Acts of the Apostles,34600000
Acyl halide,4700000
Ad Reinhardt,14300000
Ada,3310000000
Ada Leverson,307000
Ada Lovelace,10500000
Ada Osakwe,4930000
Adah Isaacs Menken,291000
"Adair Turner, Baron Turner of Ecchinswell",6470
Adalberto Costa Júnior,5260000
Adam,3030000000
Adam Carolla,11900000
Adam Ferguson,29900000
Adam Goldstein,15800000
Adam Gopnik,886000
Adam Hochschild,4730000
Adam Kinzinger,4480000
Adam Levine,28400000
Adam Lindsay Gordon,15000000
Adam Mardel,6180000
Adam Mickiewicz,6710000
Adam Morrison,24000000
Adam Myerson,2770000
Adam Przeworski,2250000
Adam Rakunas,58600
Adam Roberts,77600000
Adam Sandler,61600000
Adam Schaff,5020000
Adam Schiff,10800000
Adam Silvera,7770000
Adam Smith,307000000
Adam Steltzner,106000
Adam Thorpe,11600000
Adam Wainwright,7920000
Adam Warlock,6490000
Adam Weishaupt,6150000
Adam West,488000000
Adam Winkler,11900000
Adam and Eve,185000000
Adam-Troy Castro,6450000
Adame Ba Konaré,55200
Adda Djorup,9910
Addiction,1240000000
Addison Mizner,4790000
Addition reaction,1430000000
Adelaide Crapsey,2860000
Adele (singer),42700000
Adele James,44200000
Ademola Lookman,687000
Adenike Oladosu,42500
Adesuwa Etomi,38500
Adewale Akinnuoye-Agbaje,494000
Adhan,9820000
Adi Shankara,1340000
Adin Ballou,2640000
Aditi Govitrikar,206000
Adivasi,23000000
Adji Bousso Dieng,130000
Adjustment (psychology),121000000
Adlai Stevenson II,6010000
Administration of justice,965000000
Admiralty law,6920000
Admiration,345000000
Adnan Oktar,1800000
Adolf A. Berle,3960000
Adolf Eichmann,7160000
Adolf Galland,3670000
Adolf Hitler,66000000
Adolf Loos,8150000
Adolph Fischer,7110000
Adolph Gottlieb,8610000
Adolphe Quetelet,245000
Adoniram Judson Gordon,1670000
Adrian Hastings,11200000
Adrian Henri,14200000
Adrian Leaper,2550000
Adrian Leo Doyle,7420000
Adrian Mitchell,25000000
Adrian Newey,5050000
Adrian Slywotzky,263000
Adrienne Barbeau,3420000
Adrienne Kennedy,8940000
Adrienne Rich,12200000
Adrienne von Speyr,534000
Adultery,68900000
Adunis,64300
Advantage,4000000000
Adventure,3340000000
Adventures in the Screen Trade,52100000
Adversity,94200000
Adyashanti,1080000
Aeneid,4480000
Aeronautics,162000000
Aerospace engineering,280000000
Aeschines,942000
Aeschylus,3860000
Aesop,50100000
Aesop Rock,27600000
Affectation,31400000
Affection,429000000
Affidavit,107000000
Affliction,33000000
Afghanistan,973000000
Africa,7120000000
African American,2550000000
African National Congress,98000000
African Spir,675000
African-American studies,674000000
Afrikaans,2230000000
Afrikaners,14900000
Afro Candy,27200000
Afrocentrism,8400000
Afterlife,105000000
Against All Hope: A Memoir of Life in Castro's Gulag,642000
Against Civilization,109000000
Agatha Christie,43600000
Agathon,3610000
Age,14530000000
Ageless Wisdom teachings,1900000
Aggression,409000000
Agis II,2700000
Agis IV,1350000
Agnes Repplier,823000
Agnetha Fältskog,2200000
Agnosticism,64900000
Agnès Poirier,6270000
Agostino Marchetto,3500000
Agriculture,2500000000
Agriculture in India,898000000
Agronomy,107000000
Ahad Ha'am,4600000
Ahdaf Soueif,329000
Ahimsa,6300000
Ahiqar,47000
Ahmad Jamal,17500000
Ahmad Khatami,1150000
Ahmad Nasser al-Mohammed al-Sabah,861000
Ahmad Shah Massoud,1680000
Ahmad Sirhindi,222000
Ahmadiyya,4280000
Ahmed Shah Durrani,1200000
Ahmedabad,547000000
Ahmet Davutoğlu,2970000
Aiden Wilson Tozer,704000
Aikido,27000000
Aimé Césaire,8010000
Air,8700000000
Airplane,806000000
Airyanem Vaejah,16000
Aisha,105000000
Aisha Jumwa Karisa Katana,3130
Aisha Yesufu,961000
Aishatu Madawaki,14600
Aiysha Saagar,6310000
Ajahn Chah,437000
Ajahn Maha Bua,54400
Akbar Hashemi Rafsanjani,210000
Akbaruddin Owaisi,2310000
Akeel Bilgrami,101000
Aki Kaurismäki,2380000
Akiba ben Joseph,1740000
Akihito,5850000
Akio Johnson Mutek,2140
Akio Morita,2660000
Akira Kurosawa,9840000
Akira Toriyama,12100000
Akosua Adomako Ampofo,113000
Akshay Agrawal,7070000
Akshay Kumar,96000000
Akua Kuenyehia,31600
Al Alvarez,273000000
Al B. Sure!,1280000000
Al Capone,26100000
Al Franken,11900000
Al Hurricane,116000000
Al Pacino,25000000
Al Sharpton,4050000
Al Tabor,14700000
Al-Ahli Arab Hospital explosion,1830000
Al-Biruni,2020000
Al-Maʿarri,25000
Al-Mutanabbi,384000
Al-Nasa'i,127000
Al-Shabaab,5180000
Al-Suyuti,899000
Al-Tabari,6330000
Al-Tirmidhi,2200000
Al-Zamakhshari,136000
Alabama,1070000000
Alain Aspect,37600000
Alain Finkielkraut,784000
Alain de Botton,3180000
Alain-René Lesage,1780000
Alan Alda,9650000
Alan Axelrod,4700000
Alan Ayckbourn,1480000
Alan Barth,11300000
Alan Bean,21400000
Alan Bennett,36100000
Alan Blinder,9090000
Alan Brownjohn,1780000
Alan Chalmers,9250000
Alan Charles Kors,6500000
Alan Clark,57200000
Alan Coren,4590000
Alan Cox,34000000
Alan Cumming,17400000
Alan Dershowitz,3130000
Alan Dzagoev,286000
Alan Ganoo,159000
Alan Gibbs,15100000
Alan Grayson,10400000
Alan Greenspan,5200000
Alan Guth,5540000
Alan Hirsch,11600000
Alan Hovhaness,261000
Alan John Kyerematen,383000
Alan Judd,8760000
Alan K. Simpson,23000000
Alan Kay,44900000
Alan Keyes,8480000
Alan Kotok,141000
Alan Lee (illustrator),9040000
Alan MacEachren,58200
Alan Menken,7650000
Alan Moore,63700000
Alan O. Ebenstein,3000000
Alan Paton,8540000
Alan Perlis,1340000
Alan Rickman,11200000
Alan Rusbridger,276000
Alan Ryan,115000000
Alan Shepard,11900000
Alan Sillitoe,3580000
Alan Stephen Williams,112000000
Alan Sugar,41600000
Alan Turing,13900000
Alan Wallace,30400000
Alan Watts,42800000
Alan Williams (novelist),23500000
Alana Semuels,29100
Alanis Morissette,10700000
Alar Karis,5540000
Alasdair Gray,7770000
Alasdair MacIntyre,3470000
Alaska,1120000000
Alassane Ouattara,7730000
Alastair Borthwick,2980000
Alastair Crooke,2490000
Alastair David McPhail,1590000
